timestamp,value
579426.434862231,SPACE pressed
579426.5543288912,SPACE released
579427.3093103436,F pressed
579427.404428073,F released
579427.7549166761,F pressed
579427.8732698393,F released
579427.902215457,E pressed
579428.037219673,E released
579429.8047567451,D pressed
579429.9159157289,D released
579430.7574250352,E pressed
579430.8361654113,E released
579431.5609483495,V pressed
579431.6880982878,V released
579432.7989115281,V pressed
579432.8779642031,V released
